Sample_ID,Series_ID
GSM982501,['GSE40006']
GSM982504,['GSE40006']
GSM983149,['GSE40001']
GSM983148,['GSE40001']
GSM982492,['GSE40006']
GSM982493,['GSE40006']
GSM982494,['GSE40006']
GSM982495,['GSE40006']
GSM982496,['GSE40006']
GSM982497,['GSE40006']
GSM983141,['GSE40001']
GSM983140,['GSE40001']
GSM983143,['GSE40001']
GSM983142,['GSE40001']
GSM983145,['GSE40001']
GSM983144,['GSE40001']
GSM983147,['GSE40001']
GSM983146,['GSE40001']
GSM982505,['GSE40006']
GSM982424,['GSE40006']
GSM982402,['GSE40006']
GSM983233,['GSE40005']
GSM983232,['GSE40005']
GSM983231,['GSE40005']
GSM983230,['GSE40005']
GSM983235,['GSE40005']
GSM983234,['GSE40005']
GSM982458,['GSE40006']
GSM982508,['GSE40006']
GSM982459,['GSE40006']
GSM982502,['GSE40006']
GSM982403,['GSE40006']
GSM982363,['GSE40006']
GSM983215,['GSE40005']
GSM983158,['GSE40001']
GSM983159,['GSE40001']
GSM983214,['GSE40005']
GSM983152,['GSE40001']
GSM983153,['GSE40001']
GSM983150,['GSE40001']
GSM983151,['GSE40001']
GSM983156,['GSE40001']
GSM983157,['GSE40001']
GSM983154,['GSE40001']
GSM983155,['GSE40001']
GSM982433,['GSE40006']
GSM982490,['GSE40006']
GSM983216,['GSE40005']
GSM982399,['GSE40006']
GSM982398,['GSE40006']
GSM982397,['GSE40006']
GSM983211,['GSE40004']
GSM982395,['GSE40006']
GSM982394,['GSE40006']
GSM982393,['GSE40006']
GSM982392,['GSE40006']
GSM982391,['GSE40006']
GSM983210,['GSE40004']
GSM983224,['GSE40005']
GSM983225,['GSE40005']
GSM983226,['GSE40005']
GSM983227,['GSE40005']
GSM983220,['GSE40005']
GSM983213,['GSE40005']
GSM983222,['GSE40005']
GSM983223,['GSE40005']
GSM982410,['GSE40006']
GSM982411,['GSE40006']
GSM982412,['GSE40006']
GSM983212,['GSE40005']
GSM983228,['GSE40005']
GSM983229,['GSE40005']
GSM982416,['GSE40006']
GSM982417,['GSE40006']
GSM982428,['GSE40006']
GSM982500,['GSE40006']
GSM982418,['GSE40006']
GSM982419,['GSE40006']
GSM982498,['GSE40006']
GSM983169,['GSE40001']
GSM983168,['GSE40001']
GSM983167,['GSE40001']
GSM983166,['GSE40001']
GSM983165,['GSE40001']
GSM983164,['GSE40001']
GSM983163,['GSE40001']
GSM983162,['GSE40001']
GSM983161,['GSE40001']
GSM983160,['GSE40001']
GSM982380,['GSE40006']
GSM982381,['GSE40006']
GSM982382,['GSE40006']
GSM982383,['GSE40006']
GSM982384,['GSE40006']
GSM982385,['GSE40006']
GSM982386,['GSE40006']
GSM982387,['GSE40006']
GSM982388,['GSE40006']
GSM982389,['GSE40006']
GSM982421,['GSE40006']
GSM982469,['GSE40006']
GSM982468,['GSE40006']
GSM982465,['GSE40006']
GSM982450,['GSE40006']
GSM982467,['GSE40006']
GSM982466,['GSE40006']
GSM982461,['GSE40006']
GSM982460,['GSE40006']
GSM982463,['GSE40006']
GSM983221,['GSE40005']
GSM982491,['GSE40006']
GSM982409,['GSE40006']
GSM982379,['GSE40006']
GSM982378,['GSE40006']
GSM982375,['GSE40006']
GSM982374,['GSE40006']
GSM982377,['GSE40006']
GSM982376,['GSE40006']
GSM982371,['GSE40006']
GSM982370,['GSE40006']
GSM982373,['GSE40006']
GSM982372,['GSE40006']
GSM983170,['GSE40002']
GSM983171,['GSE40002']
GSM983172,['GSE40002']
GSM983173,['GSE40002']
GSM983174,['GSE40002']
GSM983175,['GSE40002']
GSM983176,['GSE40002']
GSM983177,['GSE40002']
GSM983178,['GSE40003']
GSM983179,['GSE40003']
GSM982408,['GSE40006']
GSM982413,['GSE40006']
GSM982414,['GSE40006']
GSM982423,['GSE40006']
GSM982430,['GSE40006']
GSM982415,['GSE40006']
GSM982478,['GSE40006']
GSM982479,['GSE40006']
GSM982476,['GSE40006']
GSM982477,['GSE40006']
GSM982474,['GSE40006']
GSM982475,['GSE40006']
GSM982472,['GSE40006']
GSM982473,['GSE40006']
GSM982470,['GSE40006']
GSM982471,['GSE40006']
GSM982432,['GSE40006']
GSM982368,['GSE40006']
GSM982369,['GSE40006']
GSM982366,['GSE40006']
GSM982367,['GSE40006']
GSM982364,['GSE40006']
GSM982365,['GSE40006']
GSM982362,['GSE40006']
GSM982346,['GSE40006']
GSM982360,['GSE40006']
GSM982361,['GSE40006']
GSM982347,['GSE40006']
GSM1056318,['GSE40001']
GSM1056315,['GSE40001']
GSM1056314,['GSE40001']
GSM1056317,['GSE40001']
GSM1056316,['GSE40001']
GSM1056311,['GSE40001']
GSM1056310,['GSE40001']
GSM1056313,['GSE40001']
GSM1056312,['GSE40001']
GSM982484,['GSE40006']
GSM982464,['GSE40006']
GSM982435,['GSE40006']
GSM982482,['GSE40006']
GSM982443,['GSE40006']
GSM982442,['GSE40006']
GSM982441,['GSE40006']
GSM982440,['GSE40006']
GSM982447,['GSE40006']
GSM982446,['GSE40006']
GSM982445,['GSE40006']
GSM982444,['GSE40006']
GSM982449,['GSE40006']
GSM982448,['GSE40006']
GSM982438,['GSE40006']
GSM982353,['GSE40006']
GSM982352,['GSE40006']
GSM982351,['GSE40006']
GSM982350,['GSE40006']
GSM982357,['GSE40006']
GSM982356,['GSE40006']
GSM982355,['GSE40006']
GSM982354,['GSE40006']
GSM982429,['GSE40006']
GSM982348,['GSE40006']
GSM982359,['GSE40006']
GSM982358,['GSE40006']
GSM982349,['GSE40006']
GSM983116,['GSE40000']
GSM983117,['GSE40000']
GSM983114,['GSE40000']
GSM983115,['GSE40000']
GSM983112,['GSE40000']
GSM983113,['GSE40000']
GSM982439,['GSE40006']
GSM982390,['GSE40006']
GSM983118,['GSE40000']
GSM983119,['GSE40000']
GSM982451,['GSE40006']
GSM982503,['GSE40006']
GSM982454,['GSE40006']
GSM982455,['GSE40006']
GSM982456,['GSE40006']
GSM982457,['GSE40006']
GSM983189,['GSE40003']
GSM983188,['GSE40003']
GSM982452,['GSE40006']
GSM982453,['GSE40006']
GSM983185,['GSE40003']
GSM983184,['GSE40003']
GSM983187,['GSE40003']
GSM983186,['GSE40003']
GSM983181,['GSE40003']
GSM983180,['GSE40003']
GSM983183,['GSE40003']
GSM983182,['GSE40003']
GSM982344,['GSE40006']
GSM982345,['GSE40006']
GSM983129,['GSE40000']
GSM983128,['GSE40000']
GSM982436,['GSE40006']
GSM982437,['GSE40006']
GSM982434,['GSE40006']
GSM982420,['GSE40006']
GSM983123,['GSE40000']
GSM983122,['GSE40000']
GSM983121,['GSE40000']
GSM983120,['GSE40000']
GSM983127,['GSE40000']
GSM983126,['GSE40000']
GSM983125,['GSE40000']
GSM983124,['GSE40000']
GSM982422,['GSE40006']
GSM982425,['GSE40006']
GSM982499,['GSE40006']
GSM983217,['GSE40005']
GSM982427,['GSE40006']
GSM982396,['GSE40006']
GSM982426,['GSE40006']
GSM983219,['GSE40005']
GSM983218,['GSE40005']
GSM983198,['GSE40004']
GSM983199,['GSE40004']
GSM983196,['GSE40004']
GSM983197,['GSE40004']
GSM983194,['GSE40004']
GSM983195,['GSE40004']
GSM983192,['GSE40003']
GSM983193,['GSE40003']
GSM983190,['GSE40003']
GSM983191,['GSE40003']
GSM982407,['GSE40006']
GSM982406,['GSE40006']
GSM982405,['GSE40006']
GSM982404,['GSE40006']
GSM983138,['GSE40001']
GSM983139,['GSE40001']
GSM982401,['GSE40006']
GSM982400,['GSE40006']
GSM983134,['GSE40000']
GSM983135,['GSE40000']
GSM983136,['GSE40001']
GSM983137,['GSE40001']
GSM983130,['GSE40000']
GSM983131,['GSE40000']
GSM983132,['GSE40000']
GSM983133,['GSE40000']
GSM982506,['GSE40006']
GSM982489,['GSE40006']
GSM982488,['GSE40006']
GSM982487,['GSE40006']
GSM982486,['GSE40006']
GSM982485,['GSE40006']
GSM982431,['GSE40006']
GSM982483,['GSE40006']
GSM982462,['GSE40006']
GSM982481,['GSE40006']
GSM982480,['GSE40006']
GSM982507,['GSE40006']
GSM983208,['GSE40004']
GSM983209,['GSE40004']
GSM983206,['GSE40004']
GSM983207,['GSE40004']
GSM983204,['GSE40004']
GSM983205,['GSE40004']
GSM983202,['GSE40004']
GSM983203,['GSE40004']
GSM983200,['GSE40004']
GSM983201,['GSE40004']
